date,county,state,fips,cases,deaths
2020-03-13,Travis,Texas,48453.0,4,0.0
2020-03-14,Travis,Texas,48453.0,4,0.0
2020-03-15,Travis,Texas,48453.0,6,0.0
2020-03-16,Travis,Texas,48453.0,6,0.0
2020-03-17,Travis,Texas,48453.0,6,0.0
2020-03-18,Travis,Texas,48453.0,6,0.0
2020-03-19,Travis,Texas,48453.0,7,0.0
2020-03-20,Travis,Texas,48453.0,21,0.0
2020-03-21,Travis,Texas,48453.0,62,0.0
2020-03-22,Travis,Texas,48453.0,79,0.0
2020-03-23,Travis,Texas,48453.0,79,0.0
2020-03-24,Travis,Texas,48453.0,79,0.0
2020-03-25,Travis,Texas,48453.0,119,0.0
2020-03-26,Travis,Texas,48453.0,137,0.0
2020-03-27,Travis,Texas,48453.0,160,1.0
2020-03-28,Travis,Texas,48453.0,160,1.0
2020-03-29,Travis,Texas,48453.0,179,1.0
2020-03-30,Travis,Texas,48453.0,206,2.0
2020-03-31,Travis,Texas,48453.0,206,2.0
2020-04-01,Travis,Texas,48453.0,244,2.0
2020-04-02,Travis,Texas,48453.0,305,3.0
2020-04-03,Travis,Texas,48453.0,351,3.0
2020-04-04,Travis,Texas,48453.0,430,6.0
2020-04-05,Travis,Texas,48453.0,460,6.0
2020-04-06,Travis,Texas,48453.0,502,6.0
2020-04-07,Travis,Texas,48453.0,502,6.0
2020-04-08,Travis,Texas,48453.0,596,7.0
2020-04-09,Travis,Texas,48453.0,597,7.0
2020-04-10,Travis,Texas,48453.0,642,7.0
2020-04-11,Travis,Texas,48453.0,690,9.0
2020-04-12,Travis,Texas,48453.0,774,9.0
2020-04-13,Travis,Texas,48453.0,856,11.0
2020-04-14,Travis,Texas,48453.0,900,14.0
2020-04-15,Travis,Texas,48453.0,900,14.0
2020-04-16,Travis,Texas,48453.0,977,17.0
2020-04-17,Travis,Texas,48453.0,1074,21.0
2020-04-18,Travis,Texas,48453.0,1092,23.0
2020-04-19,Travis,Texas,48453.0,1108,25.0
2020-04-20,Travis,Texas,48453.0,1174,26.0
2020-04-21,Travis,Texas,48453.0,1233,27.0
2020-04-22,Travis,Texas,48453.0,1263,28.0
2020-04-23,Travis,Texas,48453.0,1312,31.0
2020-04-24,Travis,Texas,48453.0,1379,32.0
2020-04-25,Travis,Texas,48453.0,1396,36.0
2020-04-26,Travis,Texas,48453.0,1412,39.0
2020-04-27,Travis,Texas,48453.0,1464,42.0
2020-04-28,Travis,Texas,48453.0,1539,42.0
2020-04-29,Travis,Texas,48453.0,1591,44.0
2020-04-30,Travis,Texas,48453.0,1654,47.0
2020-05-01,Travis,Texas,48453.0,1683,51.0
2020-05-02,Travis,Texas,48453.0,1714,51.0
2020-05-03,Travis,Texas,48453.0,1756,52.0
2020-05-04,Travis,Texas,48453.0,1816,53.0
2020-05-05,Travis,Texas,48453.0,1876,58.0
2020-05-06,Travis,Texas,48453.0,1946,58.0
2020-05-07,Travis,Texas,48453.0,2002,59.0
2020-05-08,Travis,Texas,48453.0,2071,60.0
2020-05-09,Travis,Texas,48453.0,2095,60.0
2020-05-10,Travis,Texas,48453.0,2127,60.0
2020-05-11,Travis,Texas,48453.0,2171,65.0
2020-05-12,Travis,Texas,48453.0,2235,71.0
2020-05-13,Travis,Texas,48453.0,2288,72.0
2020-05-14,Travis,Texas,48453.0,2345,74.0
2020-05-15,Travis,Texas,48453.0,2381,77.0
2020-05-16,Travis,Texas,48453.0,2425,77.0
2020-05-17,Travis,Texas,48453.0,2459,77.0
2020-05-18,Travis,Texas,48453.0,2537,79.0
2020-05-19,Travis,Texas,48453.0,2595,81.0
2020-05-20,Travis,Texas,48453.0,2644,82.0
2020-05-21,Travis,Texas,48453.0,2712,83.0
2020-05-22,Travis,Texas,48453.0,2761,83.0
2020-05-23,Travis,Texas,48453.0,2788,83.0
2020-05-24,Travis,Texas,48453.0,2847,84.0
2020-05-25,Travis,Texas,48453.0,2933,85.0
2020-05-26,Travis,Texas,48453.0,2984,88.0
2020-05-27,Travis,Texas,48453.0,3057,91.0
2020-05-28,Travis,Texas,48453.0,3124,92.0
2020-05-29,Travis,Texas,48453.0,3186,93.0
2020-05-30,Travis,Texas,48453.0,3232,93.0
2020-05-31,Travis,Texas,48453.0,3272,93.0
2020-06-01,Travis,Texas,48453.0,3360,93.0
2020-06-02,Travis,Texas,48453.0,3433,93.0
2020-06-03,Travis,Texas,48453.0,3501,95.0
2020-06-04,Travis,Texas,48453.0,3562,95.0
2020-06-05,Travis,Texas,48453.0,3616,97.0
2020-06-06,Travis,Texas,48453.0,3662,97.0
2020-06-07,Travis,Texas,48453.0,3697,97.0
