date,county,state,fips,cases,deaths
2020-03-21,Butte,California,6007.0,1,0.0
2020-03-22,Butte,California,6007.0,2,0.0
2020-03-23,Butte,California,6007.0,3,0.0
2020-03-24,Butte,California,6007.0,4,0.0
2020-03-25,Butte,California,6007.0,4,0.0
2020-03-26,Butte,California,6007.0,5,0.0
2020-03-27,Butte,California,6007.0,5,0.0
2020-03-28,Butte,California,6007.0,5,0.0
2020-03-29,Butte,California,6007.0,5,0.0
2020-03-30,Butte,California,6007.0,8,0.0
2020-03-31,Butte,California,6007.0,8,0.0
2020-04-01,Butte,California,6007.0,8,0.0
2020-04-02,Butte,California,6007.0,10,0.0
2020-04-03,Butte,California,6007.0,11,0.0
2020-04-04,Butte,California,6007.0,11,0.0
2020-04-05,Butte,California,6007.0,11,0.0
2020-04-06,Butte,California,6007.0,12,0.0
2020-04-07,Butte,California,6007.0,13,0.0
2020-04-08,Butte,California,6007.0,13,0.0
2020-04-09,Butte,California,6007.0,13,0.0
2020-04-10,Butte,California,6007.0,14,0.0
2020-04-11,Butte,California,6007.0,14,0.0
2020-04-12,Butte,California,6007.0,14,0.0
2020-04-13,Butte,California,6007.0,15,0.0
2020-04-14,Butte,California,6007.0,16,0.0
2020-04-15,Butte,California,6007.0,16,0.0
2020-04-16,Butte,California,6007.0,16,0.0
2020-04-17,Butte,California,6007.0,16,0.0
2020-04-18,Butte,California,6007.0,16,0.0
2020-04-19,Butte,California,6007.0,16,0.0
2020-04-20,Butte,California,6007.0,16,0.0
2020-04-21,Butte,California,6007.0,16,0.0
2020-04-22,Butte,California,6007.0,16,0.0
2020-04-23,Butte,California,6007.0,16,0.0
2020-04-24,Butte,California,6007.0,16,0.0
2020-04-25,Butte,California,6007.0,16,0.0
2020-04-26,Butte,California,6007.0,16,0.0
2020-04-27,Butte,California,6007.0,16,0.0
2020-04-28,Butte,California,6007.0,16,0.0
2020-04-29,Butte,California,6007.0,16,0.0
2020-04-30,Butte,California,6007.0,16,0.0
2020-05-01,Butte,California,6007.0,16,0.0
2020-05-02,Butte,California,6007.0,17,0.0
2020-05-03,Butte,California,6007.0,17,0.0
2020-05-04,Butte,California,6007.0,17,0.0
2020-05-05,Butte,California,6007.0,18,0.0
2020-05-06,Butte,California,6007.0,19,0.0
2020-05-07,Butte,California,6007.0,19,0.0
2020-05-08,Butte,California,6007.0,19,0.0
2020-05-09,Butte,California,6007.0,18,0.0
2020-05-10,Butte,California,6007.0,18,0.0
2020-05-11,Butte,California,6007.0,20,0.0
2020-05-12,Butte,California,6007.0,20,0.0
2020-05-13,Butte,California,6007.0,20,0.0
2020-05-14,Butte,California,6007.0,22,0.0
2020-05-15,Butte,California,6007.0,22,0.0
2020-05-16,Butte,California,6007.0,22,0.0
2020-05-17,Butte,California,6007.0,22,0.0
2020-05-18,Butte,California,6007.0,24,0.0
2020-05-19,Butte,California,6007.0,26,0.0
2020-05-20,Butte,California,6007.0,30,0.0
2020-05-21,Butte,California,6007.0,31,0.0
2020-05-22,Butte,California,6007.0,34,0.0
2020-05-23,Butte,California,6007.0,34,0.0
2020-05-24,Butte,California,6007.0,34,0.0
2020-05-25,Butte,California,6007.0,35,0.0
2020-05-26,Butte,California,6007.0,40,0.0
2020-05-27,Butte,California,6007.0,40,0.0
2020-05-28,Butte,California,6007.0,40,0.0
2020-05-29,Butte,California,6007.0,44,0.0
2020-05-30,Butte,California,6007.0,44,0.0
2020-05-31,Butte,California,6007.0,44,0.0
2020-06-01,Butte,California,6007.0,51,1.0
2020-06-02,Butte,California,6007.0,51,1.0
2020-06-03,Butte,California,6007.0,55,1.0
