date,county,state,fips,cases,deaths
2020-03-21,Siskiyou,California,6093.0,2,0.0
2020-03-22,Siskiyou,California,6093.0,2,0.0
2020-03-23,Siskiyou,California,6093.0,3,0.0
2020-03-24,Siskiyou,California,6093.0,3,0.0
2020-03-25,Siskiyou,California,6093.0,3,0.0
2020-03-26,Siskiyou,California,6093.0,3,0.0
2020-03-27,Siskiyou,California,6093.0,3,0.0
2020-03-28,Siskiyou,California,6093.0,3,0.0
2020-03-29,Siskiyou,California,6093.0,3,0.0
2020-03-30,Siskiyou,California,6093.0,3,0.0
2020-03-31,Siskiyou,California,6093.0,3,0.0
2020-04-01,Siskiyou,California,6093.0,3,0.0
2020-04-02,Siskiyou,California,6093.0,3,0.0
2020-04-03,Siskiyou,California,6093.0,3,0.0
2020-04-04,Siskiyou,California,6093.0,3,0.0
2020-04-05,Siskiyou,California,6093.0,3,0.0
2020-04-06,Siskiyou,California,6093.0,4,0.0
2020-04-07,Siskiyou,California,6093.0,4,0.0
2020-04-08,Siskiyou,California,6093.0,4,0.0
2020-04-09,Siskiyou,California,6093.0,4,0.0
2020-04-10,Siskiyou,California,6093.0,5,0.0
2020-04-11,Siskiyou,California,6093.0,5,0.0
2020-04-12,Siskiyou,California,6093.0,5,0.0
2020-04-13,Siskiyou,California,6093.0,5,0.0
2020-04-14,Siskiyou,California,6093.0,5,0.0
2020-04-15,Siskiyou,California,6093.0,5,0.0
2020-04-16,Siskiyou,California,6093.0,5,0.0
2020-04-17,Siskiyou,California,6093.0,5,0.0
2020-04-18,Siskiyou,California,6093.0,5,0.0
2020-04-19,Siskiyou,California,6093.0,5,0.0
2020-04-20,Siskiyou,California,6093.0,5,0.0
2020-04-21,Siskiyou,California,6093.0,5,0.0
2020-04-22,Siskiyou,California,6093.0,5,0.0
2020-04-23,Siskiyou,California,6093.0,5,0.0
2020-04-24,Siskiyou,California,6093.0,5,0.0
2020-04-25,Siskiyou,California,6093.0,5,0.0
2020-04-26,Siskiyou,California,6093.0,5,0.0
2020-04-27,Siskiyou,California,6093.0,5,0.0
2020-04-28,Siskiyou,California,6093.0,5,0.0
2020-04-29,Siskiyou,California,6093.0,5,0.0
2020-04-30,Siskiyou,California,6093.0,5,0.0
2020-05-01,Siskiyou,California,6093.0,5,0.0
2020-05-02,Siskiyou,California,6093.0,5,0.0
2020-05-03,Siskiyou,California,6093.0,5,0.0
2020-05-04,Siskiyou,California,6093.0,5,0.0
2020-05-05,Siskiyou,California,6093.0,5,0.0
2020-05-06,Siskiyou,California,6093.0,5,0.0
2020-05-07,Siskiyou,California,6093.0,5,0.0
2020-05-08,Siskiyou,California,6093.0,5,0.0
2020-05-09,Siskiyou,California,6093.0,5,0.0
2020-05-10,Siskiyou,California,6093.0,5,0.0
2020-05-11,Siskiyou,California,6093.0,5,0.0
2020-05-12,Siskiyou,California,6093.0,5,0.0
2020-05-13,Siskiyou,California,6093.0,5,0.0
2020-05-14,Siskiyou,California,6093.0,5,0.0
2020-05-15,Siskiyou,California,6093.0,5,0.0
2020-05-16,Siskiyou,California,6093.0,5,0.0
2020-05-17,Siskiyou,California,6093.0,6,0.0
2020-05-18,Siskiyou,California,6093.0,6,0.0
2020-05-19,Siskiyou,California,6093.0,6,0.0
2020-05-20,Siskiyou,California,6093.0,6,0.0
2020-05-21,Siskiyou,California,6093.0,6,0.0
2020-05-22,Siskiyou,California,6093.0,6,0.0
2020-05-23,Siskiyou,California,6093.0,6,0.0
2020-05-24,Siskiyou,California,6093.0,6,0.0
2020-05-25,Siskiyou,California,6093.0,6,0.0
2020-05-26,Siskiyou,California,6093.0,6,0.0
2020-05-27,Siskiyou,California,6093.0,6,0.0
2020-05-28,Siskiyou,California,6093.0,6,0.0
2020-05-29,Siskiyou,California,6093.0,7,0.0
2020-05-30,Siskiyou,California,6093.0,7,0.0
2020-05-31,Siskiyou,California,6093.0,7,0.0
2020-06-01,Siskiyou,California,6093.0,7,0.0
2020-06-02,Siskiyou,California,6093.0,7,0.0
2020-06-03,Siskiyou,California,6093.0,8,0.0
2020-06-04,Siskiyou,California,6093.0,9,0.0
2020-06-05,Siskiyou,California,6093.0,9,0.0
2020-06-06,Siskiyou,California,6093.0,9,0.0
2020-06-07,Siskiyou,California,6093.0,9,0.0
2020-06-08,Siskiyou,California,6093.0,12,0.0
2020-06-09,Siskiyou,California,6093.0,14,0.0
2020-06-10,Siskiyou,California,6093.0,14,0.0
2020-06-11,Siskiyou,California,6093.0,14,0.0
2020-06-12,Siskiyou,California,6093.0,15,0.0
2020-06-13,Siskiyou,California,6093.0,15,0.0
2020-06-14,Siskiyou,California,6093.0,16,0.0
2020-06-15,Siskiyou,California,6093.0,18,0.0
2020-06-16,Siskiyou,California,6093.0,20,0.0
2020-06-17,Siskiyou,California,6093.0,20,0.0
2020-06-18,Siskiyou,California,6093.0,21,0.0
2020-06-19,Siskiyou,California,6093.0,21,0.0
2020-06-20,Siskiyou,California,6093.0,21,0.0
2020-06-21,Siskiyou,California,6093.0,23,0.0
2020-06-22,Siskiyou,California,6093.0,24,0.0
2020-06-23,Siskiyou,California,6093.0,24,0.0
2020-06-24,Siskiyou,California,6093.0,26,0.0
2020-06-25,Siskiyou,California,6093.0,26,0.0
2020-06-26,Siskiyou,California,6093.0,26,0.0
2020-06-27,Siskiyou,California,6093.0,27,0.0
2020-06-28,Siskiyou,California,6093.0,27,0.0
2020-06-29,Siskiyou,California,6093.0,28,0.0
2020-06-30,Siskiyou,California,6093.0,29,0.0
2020-07-01,Siskiyou,California,6093.0,31,0.0
2020-07-02,Siskiyou,California,6093.0,31,0.0
2020-07-03,Siskiyou,California,6093.0,31,0.0
2020-07-04,Siskiyou,California,6093.0,31,0.0
2020-07-05,Siskiyou,California,6093.0,31,0.0
2020-07-06,Siskiyou,California,6093.0,32,0.0
2020-07-07,Siskiyou,California,6093.0,32,0.0
2020-07-08,Siskiyou,California,6093.0,33,0.0
2020-07-09,Siskiyou,California,6093.0,33,0.0
2020-07-10,Siskiyou,California,6093.0,33,0.0
2020-07-11,Siskiyou,California,6093.0,41,0.0
2020-07-12,Siskiyou,California,6093.0,41,0.0
2020-07-13,Siskiyou,California,6093.0,43,0.0
2020-07-14,Siskiyou,California,6093.0,43,0.0
2020-07-15,Siskiyou,California,6093.0,43,0.0
2020-07-16,Siskiyou,California,6093.0,44,0.0
2020-07-17,Siskiyou,California,6093.0,44,0.0
2020-07-18,Siskiyou,California,6093.0,44,0.0
2020-07-19,Siskiyou,California,6093.0,44,0.0
2020-07-20,Siskiyou,California,6093.0,51,0.0
2020-07-21,Siskiyou,California,6093.0,53,0.0
2020-07-22,Siskiyou,California,6093.0,53,0.0
2020-07-23,Siskiyou,California,6093.0,60,0.0
2020-07-24,Siskiyou,California,6093.0,61,0.0
2020-07-25,Siskiyou,California,6093.0,61,0.0
2020-07-26,Siskiyou,California,6093.0,61,0.0
2020-07-27,Siskiyou,California,6093.0,66,0.0
2020-07-28,Siskiyou,California,6093.0,66,0.0
2020-07-29,Siskiyou,California,6093.0,67,0.0
2020-07-30,Siskiyou,California,6093.0,71,0.0
2020-07-31,Siskiyou,California,6093.0,73,0.0
2020-08-01,Siskiyou,California,6093.0,73,0.0
2020-08-02,Siskiyou,California,6093.0,73,0.0
2020-08-03,Siskiyou,California,6093.0,81,0.0
2020-08-04,Siskiyou,California,6093.0,88,0.0
