,date,county,state,fips,cases,deaths
418,2020-03-01,Unknown,Rhode Island,,2,0.0
450,2020-03-02,Unknown,Rhode Island,,2,0.0
485,2020-03-03,Unknown,Rhode Island,,2,0.0
522,2020-03-04,Unknown,Rhode Island,,2,0.0
569,2020-03-05,Unknown,Rhode Island,,2,0.0
636,2020-03-06,Unknown,Rhode Island,,3,0.0
728,2020-03-07,Unknown,Rhode Island,,3,0.0
837,2020-03-08,Unknown,Rhode Island,,3,0.0
966,2020-03-09,Unknown,Rhode Island,,3,0.0
1119,2020-03-10,Unknown,Rhode Island,,5,0.0
1313,2020-03-11,Unknown,Rhode Island,,5,0.0
1511,2020-03-12,Unknown,New Jersey,,1,0.0
1559,2020-03-12,Unknown,Rhode Island,,5,0.0
1804,2020-03-13,Unknown,New Jersey,,1,0.0
1858,2020-03-13,Unknown,Puerto Rico,,3,0.0
1859,2020-03-13,Unknown,Rhode Island,,20,0.0
2151,2020-03-14,Unknown,New Jersey,,1,0.0
2220,2020-03-14,Unknown,Puerto Rico,,4,0.0
2221,2020-03-14,Unknown,Rhode Island,,20,0.0
2267,2020-03-14,Unknown,Virgin Islands,,1,0.0
2422,2020-03-15,Unknown,Guam,,3,0.0
2559,2020-03-15,Unknown,New Jersey,,1,0.0
2642,2020-03-15,Unknown,Puerto Rico,,5,0.0
2643,2020-03-15,Unknown,Rhode Island,,20,0.0
2694,2020-03-15,Unknown,Virgin Islands,,1,0.0
2863,2020-03-16,Unknown,Guam,,3,0.0
2929,2020-03-16,Unknown,Maine,,1,0.0
2950,2020-03-16,Unknown,Massachusetts,,1,0.0
3017,2020-03-16,Unknown,New Jersey,,1,0.0
3107,2020-03-16,Unknown,Puerto Rico,,5,0.0
3108,2020-03-16,Unknown,Rhode Island,,21,0.0
3166,2020-03-16,Unknown,Virgin Islands,,2,0.0
3350,2020-03-17,Unknown,Guam,,3,0.0
3429,2020-03-17,Unknown,Maine,,3,0.0
3451,2020-03-17,Unknown,Massachusetts,,1,0.0
3530,2020-03-17,Unknown,New Jersey,,1,0.0
3637,2020-03-17,Unknown,Puerto Rico,,5,0.0
3638,2020-03-17,Unknown,Rhode Island,,23,0.0
3702,2020-03-17,Unknown,Virgin Islands,,2,0.0
3912,2020-03-18,Unknown,Guam,,8,0.0
4003,2020-03-18,Unknown,Louisiana,,2,0.0
4011,2020-03-18,Unknown,Maine,,3,0.0
4034,2020-03-18,Unknown,Massachusetts,,4,0.0
4126,2020-03-18,Unknown,New Jersey,,1,0.0
4256,2020-03-18,Unknown,Puerto Rico,,5,0.0
4257,2020-03-18,Unknown,Rhode Island,,33,0.0
4334,2020-03-18,Unknown,Virgin Islands,,3,0.0
4588,2020-03-19,Unknown,Guam,,12,0.0
4680,2020-03-19,Unknown,Kentucky,,1,0.0
4703,2020-03-19,Unknown,Louisiana,,3,0.0
4713,2020-03-19,Unknown,Maine,,3,0.0
4739,2020-03-19,Unknown,Massachusetts,,13,0.0
4828,2020-03-19,Unknown,Nevada,,4,0.0
4854,2020-03-19,Unknown,New Jersey,,1,0.0
4998,2020-03-19,Unknown,Puerto Rico,,6,0.0
4999,2020-03-19,Unknown,Rhode Island,,44,0.0
