date,county,state,fips,cases,deaths
2020-03-20,Imperial,California,6025.0,4,0.0
2020-03-21,Imperial,California,6025.0,4,0.0
2020-03-22,Imperial,California,6025.0,4,0.0
2020-03-23,Imperial,California,6025.0,4,0.0
2020-03-24,Imperial,California,6025.0,9,0.0
2020-03-25,Imperial,California,6025.0,9,0.0
2020-03-26,Imperial,California,6025.0,17,0.0
2020-03-27,Imperial,California,6025.0,21,0.0
2020-03-28,Imperial,California,6025.0,25,0.0
2020-03-29,Imperial,California,6025.0,25,0.0
2020-03-30,Imperial,California,6025.0,33,0.0
2020-03-31,Imperial,California,6025.0,38,0.0
2020-04-01,Imperial,California,6025.0,43,0.0
2020-04-02,Imperial,California,6025.0,50,0.0
2020-04-03,Imperial,California,6025.0,55,0.0
2020-04-04,Imperial,California,6025.0,55,0.0
2020-04-05,Imperial,California,6025.0,57,1.0
2020-04-06,Imperial,California,6025.0,68,3.0
2020-04-07,Imperial,California,6025.0,73,2.0
2020-04-08,Imperial,California,6025.0,75,3.0
2020-04-09,Imperial,California,6025.0,79,2.0
2020-04-10,Imperial,California,6025.0,79,2.0
2020-04-11,Imperial,California,6025.0,87,2.0
2020-04-12,Imperial,California,6025.0,87,2.0
2020-04-13,Imperial,California,6025.0,87,2.0
2020-04-14,Imperial,California,6025.0,117,2.0
2020-04-15,Imperial,California,6025.0,127,2.0
2020-04-16,Imperial,California,6025.0,143,2.0
2020-04-17,Imperial,California,6025.0,155,2.0
2020-04-18,Imperial,California,6025.0,155,2.0
2020-04-19,Imperial,California,6025.0,160,2.0
2020-04-20,Imperial,California,6025.0,160,2.0
2020-04-21,Imperial,California,6025.0,195,4.0
2020-04-22,Imperial,California,6025.0,214,4.0
2020-04-23,Imperial,California,6025.0,232,8.0
2020-04-24,Imperial,California,6025.0,251,8.0
2020-04-25,Imperial,California,6025.0,251,7.0
2020-04-26,Imperial,California,6025.0,251,7.0
2020-04-27,Imperial,California,6025.0,284,7.0
2020-04-28,Imperial,California,6025.0,304,8.0
2020-04-29,Imperial,California,6025.0,319,8.0
2020-04-30,Imperial,California,6025.0,333,8.0
2020-05-01,Imperial,California,6025.0,358,8.0
2020-05-02,Imperial,California,6025.0,358,8.0
2020-05-03,Imperial,California,6025.0,358,8.0
2020-05-04,Imperial,California,6025.0,379,8.0
2020-05-05,Imperial,California,6025.0,400,8.0
2020-05-06,Imperial,California,6025.0,419,8.0
2020-05-07,Imperial,California,6025.0,455,8.0
2020-05-08,Imperial,California,6025.0,512,11.0
2020-05-09,Imperial,California,6025.0,512,11.0
2020-05-10,Imperial,California,6025.0,512,11.0
2020-05-11,Imperial,California,6025.0,564,11.0
2020-05-12,Imperial,California,6025.0,603,12.0
2020-05-13,Imperial,California,6025.0,647,13.0
2020-05-14,Imperial,California,6025.0,712,14.0
2020-05-15,Imperial,California,6025.0,786,14.0
2020-05-16,Imperial,California,6025.0,786,14.0
2020-05-17,Imperial,California,6025.0,786,14.0
2020-05-18,Imperial,California,6025.0,876,14.0
2020-05-19,Imperial,California,6025.0,902,17.0
2020-05-20,Imperial,California,6025.0,1012,18.0
2020-05-21,Imperial,California,6025.0,1076,20.0
2020-05-22,Imperial,California,6025.0,1145,22.0
2020-05-23,Imperial,California,6025.0,1214,22.0
2020-05-24,Imperial,California,6025.0,1283,22.0
2020-05-25,Imperial,California,6025.0,1369,22.0
2020-05-26,Imperial,California,6025.0,1369,23.0
2020-05-27,Imperial,California,6025.0,1443,25.0
2020-05-28,Imperial,California,6025.0,1545,25.0
