date,county,state,fips,cases,deaths
2020-03-14,Unknown,Virgin Islands,,1,0.0
2020-03-15,Unknown,Virgin Islands,,1,0.0
2020-03-16,Unknown,Virgin Islands,,2,0.0
2020-03-17,Unknown,Virgin Islands,,2,0.0
2020-03-18,Unknown,Virgin Islands,,3,0.0
2020-03-19,Unknown,Virgin Islands,,3,0.0
2020-03-20,Unknown,Virgin Islands,,6,0.0
2020-03-21,Unknown,Virgin Islands,,6,0.0
2020-03-22,Unknown,Virgin Islands,,17,0.0
2020-03-23,Unknown,Virgin Islands,,17,0.0
2020-03-24,Unknown,Virgin Islands,,17,0.0
2020-03-25,Unknown,Virgin Islands,,17,0.0
2020-03-26,Unknown,Virgin Islands,,17,0.0
2020-03-27,Unknown,Virgin Islands,,19,0.0
2020-03-28,Unknown,Virgin Islands,,19,0.0
2020-03-29,Unknown,Virgin Islands,,23,0.0
2020-03-30,Unknown,Virgin Islands,,30,0.0
2020-03-31,Unknown,Virgin Islands,,30,0.0
2020-04-01,Unknown,Virgin Islands,,30,0.0
2020-04-02,Unknown,Virgin Islands,,37,0.0
2020-04-03,Unknown,Virgin Islands,,38,0.0
2020-04-04,Unknown,Virgin Islands,,42,0.0
2020-04-05,Unknown,Virgin Islands,,42,0.0
2020-04-06,St. Croix,Virgin Islands,78010.0,13,0.0
2020-04-06,St. John,Virgin Islands,78020.0,2,0.0
2020-04-06,St. Thomas,Virgin Islands,78030.0,29,0.0
2020-04-06,Unknown,Virgin Islands,,0,1.0
2020-04-07,St. Croix,Virgin Islands,78010.0,14,0.0
2020-04-07,St. John,Virgin Islands,78020.0,2,0.0
2020-04-07,St. Thomas,Virgin Islands,78030.0,29,0.0
2020-04-07,Unknown,Virgin Islands,,0,1.0
2020-04-08,St. Croix,Virgin Islands,78010.0,14,0.0
2020-04-08,St. John,Virgin Islands,78020.0,2,0.0
2020-04-08,St. Thomas,Virgin Islands,78030.0,30,0.0
2020-04-08,Unknown,Virgin Islands,,0,1.0
2020-04-09,St. Croix,Virgin Islands,78010.0,14,0.0
2020-04-09,St. John,Virgin Islands,78020.0,2,0.0
2020-04-09,St. Thomas,Virgin Islands,78030.0,34,0.0
2020-04-09,Unknown,Virgin Islands,,0,1.0
2020-04-10,St. Croix,Virgin Islands,78010.0,14,0.0
2020-04-10,St. John,Virgin Islands,78020.0,2,0.0
2020-04-10,St. Thomas,Virgin Islands,78030.0,35,0.0
2020-04-10,Unknown,Virgin Islands,,0,1.0
2020-04-11,St. Croix,Virgin Islands,78010.0,14,0.0
2020-04-11,St. John,Virgin Islands,78020.0,2,0.0
2020-04-11,St. Thomas,Virgin Islands,78030.0,35,0.0
2020-04-11,Unknown,Virgin Islands,,0,1.0
2020-04-12,St. Croix,Virgin Islands,78010.0,14,0.0
2020-04-12,St. John,Virgin Islands,78020.0,2,0.0
2020-04-12,St. Thomas,Virgin Islands,78030.0,35,0.0
2020-04-12,Unknown,Virgin Islands,,0,1.0
2020-04-13,St. Croix,Virgin Islands,78010.0,14,0.0
