date,county,state,fips,cases,deaths
2020-02-10,San Diego,California,6073.0,1,0.0
2020-02-11,San Diego,California,6073.0,1,0.0
2020-02-12,San Diego,California,6073.0,1,0.0
2020-02-13,San Diego,California,6073.0,1,0.0
2020-02-14,San Diego,California,6073.0,1,0.0
2020-02-15,San Diego,California,6073.0,1,0.0
2020-02-16,San Diego,California,6073.0,1,0.0
2020-02-17,San Diego,California,6073.0,1,0.0
2020-02-18,San Diego,California,6073.0,1,0.0
2020-02-19,San Diego,California,6073.0,1,0.0
2020-02-20,San Diego,California,6073.0,1,0.0
2020-02-21,San Diego,California,6073.0,1,0.0
2020-02-22,San Diego,California,6073.0,1,0.0
2020-02-23,San Diego,California,6073.0,1,0.0
2020-02-24,San Diego,California,6073.0,1,0.0
2020-02-25,San Diego,California,6073.0,1,0.0
2020-02-26,San Diego,California,6073.0,1,0.0
2020-02-27,San Diego,California,6073.0,1,0.0
2020-02-28,San Diego,California,6073.0,1,0.0
2020-02-29,San Diego,California,6073.0,1,0.0
2020-03-01,San Diego,California,6073.0,1,0.0
2020-03-02,San Diego,California,6073.0,1,0.0
2020-03-03,San Diego,California,6073.0,1,0.0
2020-03-04,San Diego,California,6073.0,1,0.0
2020-03-05,San Diego,California,6073.0,1,0.0
2020-03-06,San Diego,California,6073.0,1,0.0
2020-03-07,San Diego,California,6073.0,1,0.0
2020-03-08,San Diego,California,6073.0,1,0.0
2020-03-09,San Diego,California,6073.0,2,0.0
2020-03-10,San Diego,California,6073.0,2,0.0
2020-03-11,San Diego,California,6073.0,2,0.0
2020-03-12,San Diego,California,6073.0,5,0.0
2020-03-13,San Diego,California,6073.0,9,0.0
2020-03-14,San Diego,California,6073.0,10,0.0
2020-03-15,San Diego,California,6073.0,40,0.0
2020-03-16,San Diego,California,6073.0,56,0.0
2020-03-17,San Diego,California,6073.0,61,0.0
2020-03-18,San Diego,California,6073.0,81,0.0
2020-03-19,San Diego,California,6073.0,105,0.0
2020-03-20,San Diego,California,6073.0,131,0.0
2020-03-21,San Diego,California,6073.0,159,0.0
2020-03-22,San Diego,California,6073.0,205,0.0
2020-03-23,San Diego,California,6073.0,230,0.0
2020-03-24,San Diego,California,6073.0,242,1.0
2020-03-25,San Diego,California,6073.0,297,2.0
2020-03-26,San Diego,California,6073.0,341,3.0
2020-03-27,San Diego,California,6073.0,417,5.0
2020-03-28,San Diego,California,6073.0,488,7.0
2020-03-29,San Diego,California,6073.0,519,7.0
2020-03-30,San Diego,California,6073.0,603,7.0
2020-03-31,San Diego,California,6073.0,734,9.0
2020-04-01,San Diego,California,6073.0,849,15.0
2020-04-02,San Diego,California,6073.0,966,16.0
2020-04-03,San Diego,California,6073.0,1112,17.0
2020-04-04,San Diego,California,6073.0,1209,18.0
2020-04-05,San Diego,California,6073.0,1326,19.0
2020-04-06,San Diego,California,6073.0,1404,19.0
2020-04-07,San Diego,California,6073.0,1454,31.0
2020-04-08,San Diego,California,6073.0,1530,36.0
2020-04-09,San Diego,California,6073.0,1628,40.0
2020-04-10,San Diego,California,6073.0,1696,44.0
2020-04-11,San Diego,California,6073.0,1761,45.0
2020-04-12,San Diego,California,6073.0,1804,45.0
2020-04-13,San Diego,California,6073.0,1847,47.0
2020-04-14,San Diego,California,6073.0,1930,53.0
2020-04-15,San Diego,California,6073.0,2012,60.0
2020-04-16,San Diego,California,6073.0,2087,63.0
2020-04-17,San Diego,California,6073.0,2158,70.0
2020-04-18,San Diego,California,6073.0,2213,71.0
2020-04-19,San Diego,California,6073.0,2268,71.0
2020-04-20,San Diego,California,6073.0,2325,72.0
2020-04-21,San Diego,California,6073.0,2434,87.0
2020-04-22,San Diego,California,6073.0,2491,96.0
2020-04-23,San Diego,California,6073.0,2643,112.0
2020-04-24,San Diego,California,6073.0,2826,102.0
2020-04-25,San Diego,California,6073.0,2943,111.0
2020-04-26,San Diego,California,6073.0,3043,111.0
2020-04-27,San Diego,California,6073.0,3141,123.0
2020-04-28,San Diego,California,6073.0,3378,128.0
2020-04-29,San Diego,California,6073.0,3432,133.0
2020-04-30,San Diego,California,6073.0,3627,140.0
2020-05-01,San Diego,California,6073.0,3774,143.0
2020-05-02,San Diego,California,6073.0,3905,150.0
2020-05-03,San Diego,California,6073.0,3990,150.0
2020-05-04,San Diego,California,6073.0,4083,150.0
2020-05-05,San Diego,California,6073.0,4223,162.0
2020-05-06,San Diego,California,6073.0,4382,173.0
2020-05-07,San Diego,California,6073.0,4492,186.0
2020-05-08,San Diego,California,6073.0,4725,189.0
2020-05-09,San Diego,California,6073.0,4839,194.0
2020-05-10,San Diego,California,6073.0,4989,194.0
2020-05-11,San Diego,California,6073.0,5128,194.0
2020-05-12,San Diego,California,6073.0,5224,204.0
2020-05-13,San Diego,California,6073.0,5341,217.0
2020-05-14,San Diego,California,6073.0,5454,223.0
2020-05-15,San Diego,California,6073.0,5586,231.0
2020-05-16,San Diego,California,6073.0,5725,235.0
2020-05-17,San Diego,California,6073.0,5899,235.0
2020-05-18,San Diego,California,6073.0,6009,242.0
