date,county,state,fips,cases,deaths
2020-03-14,San Luis Obispo,California,6079.0,1,0.0
2020-03-15,San Luis Obispo,California,6079.0,2,0.0
2020-03-16,San Luis Obispo,California,6079.0,3,0.0
2020-03-17,San Luis Obispo,California,6079.0,6,0.0
2020-03-18,San Luis Obispo,California,6079.0,7,0.0
2020-03-19,San Luis Obispo,California,6079.0,13,0.0
2020-03-20,San Luis Obispo,California,6079.0,16,0.0
2020-03-21,San Luis Obispo,California,6079.0,27,0.0
2020-03-22,San Luis Obispo,California,6079.0,27,0.0
2020-03-23,San Luis Obispo,California,6079.0,33,0.0
2020-03-24,San Luis Obispo,California,6079.0,42,0.0
2020-03-25,San Luis Obispo,California,6079.0,46,0.0
2020-03-26,San Luis Obispo,California,6079.0,54,0.0
2020-03-27,San Luis Obispo,California,6079.0,59,0.0
2020-03-28,San Luis Obispo,California,6079.0,67,0.0
2020-03-29,San Luis Obispo,California,6079.0,71,0.0
2020-03-30,San Luis Obispo,California,6079.0,77,0.0
2020-03-31,San Luis Obispo,California,6079.0,80,0.0
2020-04-01,San Luis Obispo,California,6079.0,83,0.0
2020-04-02,San Luis Obispo,California,6079.0,89,0.0
2020-04-03,San Luis Obispo,California,6079.0,93,0.0
2020-04-04,San Luis Obispo,California,6079.0,93,1.0
2020-04-05,San Luis Obispo,California,6079.0,95,1.0
2020-04-06,San Luis Obispo,California,6079.0,95,1.0
2020-04-07,San Luis Obispo,California,6079.0,99,1.0
2020-04-08,San Luis Obispo,California,6079.0,102,1.0
2020-04-09,San Luis Obispo,California,6079.0,104,1.0
2020-04-10,San Luis Obispo,California,6079.0,107,1.0
2020-04-11,San Luis Obispo,California,6079.0,110,1.0
2020-04-12,San Luis Obispo,California,6079.0,114,1.0
2020-04-13,San Luis Obispo,California,6079.0,117,1.0
2020-04-14,San Luis Obispo,California,6079.0,120,1.0
2020-04-15,San Luis Obispo,California,6079.0,124,1.0
2020-04-16,San Luis Obispo,California,6079.0,125,1.0
2020-04-17,San Luis Obispo,California,6079.0,127,1.0
2020-04-18,San Luis Obispo,California,6079.0,131,1.0
