date,county,state,fips,cases,deaths
2020-03-01,New York City,New York,,1,0.0
2020-03-02,New York City,New York,,1,0.0
2020-03-03,New York City,New York,,2,0.0
2020-03-04,New York City,New York,,2,0.0
2020-03-04,Westchester,New York,36119.0,9,0.0
2020-03-05,Nassau,New York,36059.0,1,0.0
2020-03-05,New York City,New York,,4,0.0
2020-03-05,Westchester,New York,36119.0,17,0.0
2020-03-06,Nassau,New York,36059.0,4,0.0
2020-03-06,New York City,New York,,5,0.0
2020-03-06,Rockland,New York,36087.0,2,0.0
2020-03-06,Westchester,New York,36119.0,33,0.0
2020-03-07,Nassau,New York,36059.0,4,0.0
2020-03-07,New York City,New York,,12,0.0
2020-03-07,Rockland,New York,36087.0,2,0.0
2020-03-07,Saratoga,New York,36091.0,2,0.0
2020-03-07,Westchester,New York,36119.0,69,0.0
2020-03-08,Nassau,New York,36059.0,5,0.0
2020-03-08,New York City,New York,,14,0.0
2020-03-08,Rockland,New York,36087.0,2,0.0
2020-03-08,Saratoga,New York,36091.0,2,0.0
2020-03-08,Suffolk,New York,36103.0,1,0.0
2020-03-08,Ulster,New York,36111.0,1,0.0
2020-03-08,Westchester,New York,36119.0,81,0.0
2020-03-09,Nassau,New York,36059.0,17,0.0
2020-03-09,New York City,New York,,20,0.0
2020-03-09,Rockland,New York,36087.0,4,0.0
2020-03-09,Saratoga,New York,36091.0,2,0.0
2020-03-09,Suffolk,New York,36103.0,1,0.0
2020-03-09,Ulster,New York,36111.0,1,0.0
2020-03-09,Westchester,New York,36119.0,97,0.0
2020-03-10,Nassau,New York,36059.0,19,0.0
2020-03-10,New York City,New York,,37,0.0
2020-03-10,Rockland,New York,36087.0,6,0.0
2020-03-10,Saratoga,New York,36091.0,2,0.0
2020-03-10,Suffolk,New York,36103.0,1,0.0
2020-03-10,Ulster,New York,36111.0,1,0.0
2020-03-10,Westchester,New York,36119.0,107,0.0
2020-03-11,Monroe,New York,36055.0,1,0.0
2020-03-11,Nassau,New York,36059.0,28,0.0
2020-03-11,New York City,New York,,52,0.0
2020-03-11,Rockland,New York,36087.0,6,0.0
2020-03-11,Saratoga,New York,36091.0,2,0.0
2020-03-11,Suffolk,New York,36103.0,6,0.0
2020-03-11,Ulster,New York,36111.0,2,0.0
2020-03-11,Westchester,New York,36119.0,120,0.0
2020-03-12,Albany,New York,36001.0,2,0.0
2020-03-12,Delaware,New York,36025.0,1,0.0
2020-03-12,Dutchess,New York,36027.0,1,0.0
2020-03-12,Herkimer,New York,36043.0,1,0.0
2020-03-12,Monroe,New York,36055.0,1,0.0
2020-03-12,Nassau,New York,36059.0,41,0.0
2020-03-12,New York City,New York,,96,0.0
2020-03-12,Orange,New York,36071.0,1,0.0
2020-03-12,Rockland,New York,36087.0,7,0.0
2020-03-12,Saratoga,New York,36091.0,3,0.0
2020-03-12,Suffolk,New York,36103.0,21,0.0
2020-03-12,Ulster,New York,36111.0,4,0.0
2020-03-12,Westchester,New York,36119.0,147,0.0
2020-03-13,Albany,New York,36001.0,2,0.0
2020-03-13,Delaware,New York,36025.0,1,0.0
2020-03-13,Dutchess,New York,36027.0,3,0.0
2020-03-13,Herkimer,New York,36043.0,1,0.0
2020-03-13,Monroe,New York,36055.0,1,0.0
2020-03-13,Nassau,New York,36059.0,51,0.0
2020-03-13,New York City,New York,,155,0.0
2020-03-13,Orange,New York,36071.0,3,0.0
2020-03-13,Rockland,New York,36087.0,9,0.0
2020-03-13,Saratoga,New York,36091.0,3,0.0
2020-03-13,Schenectady,New York,36093.0,1,0.0
2020-03-13,Suffolk,New York,36103.0,29,0.0
2020-03-13,Ulster,New York,36111.0,5,0.0
2020-03-13,Westchester,New York,36119.0,157,0.0
2020-03-14,Albany,New York,36001.0,5,0.0
2020-03-14,Broome,New York,36007.0,1,0.0
2020-03-14,Delaware,New York,36025.0,1,0.0
2020-03-14,Dutchess,New York,36027.0,4,0.0
2020-03-14,Herkimer,New York,36043.0,1,0.0
2020-03-14,Monroe,New York,36055.0,2,0.0
2020-03-14,Nassau,New York,36059.0,79,0.0
2020-03-14,New York City,New York,,269,1.0
2020-03-14,Orange,New York,36071.0,6,0.0
2020-03-14,Rockland,New York,36087.0,12,1.0
2020-03-14,Saratoga,New York,36091.0,3,0.0
2020-03-14,Schenectady,New York,36093.0,1,0.0
2020-03-14,Suffolk,New York,36103.0,41,0.0
2020-03-14,Tioga,New York,36107.0,1,0.0
2020-03-14,Tompkins,New York,36109.0,1,0.0
2020-03-14,Ulster,New York,36111.0,5,0.0
2020-03-14,Westchester,New York,36119.0,178,0.0
2020-03-15,Albany,New York,36001.0,11,0.0
2020-03-15,Broome,New York,36007.0,1,0.0
2020-03-15,Delaware,New York,36025.0,1,0.0
2020-03-15,Dutchess,New York,36027.0,7,0.0
2020-03-15,Erie,New York,36029.0,3,0.0
2020-03-15,Greene,New York,36039.0,2,0.0
2020-03-15,Herkimer,New York,36043.0,1,0.0
2020-03-15,Monroe,New York,36055.0,2,0.0
2020-03-15,Montgomery,New York,36057.0,1,0.0
2020-03-15,Nassau,New York,36059.0,98,0.0
2020-03-15,New York City,New York,,330,5.0
2020-03-15,Orange,New York,36071.0,6,0.0
2020-03-15,Putnam,New York,36079.0,2,0.0
2020-03-15,Rockland,New York,36087.0,13,1.0
2020-03-15,Saratoga,New York,36091.0,3,0.0
2020-03-15,Schenectady,New York,36093.0,2,0.0
2020-03-15,Suffolk,New York,36103.0,47,0.0
2020-03-15,Tioga,New York,36107.0,1,0.0
2020-03-15,Tompkins,New York,36109.0,1,0.0
2020-03-15,Ulster,New York,36111.0,5,0.0
2020-03-15,Westchester,New York,36119.0,195,0.0
2020-03-16,Albany,New York,36001.0,12,0.0
2020-03-16,Allegany,New York,36003.0,2,0.0
2020-03-16,Broome,New York,36007.0,1,0.0
2020-03-16,Delaware,New York,36025.0,1,0.0
2020-03-16,Dutchess,New York,36027.0,10,0.0
2020-03-16,Erie,New York,36029.0,6,0.0
2020-03-16,Greene,New York,36039.0,2,0.0
2020-03-16,Herkimer,New York,36043.0,1,0.0
2020-03-16,Monroe,New York,36055.0,10,0.0
2020-03-16,Montgomery,New York,36057.0,1,0.0
2020-03-16,Nassau,New York,36059.0,109,0.0
2020-03-16,New York City,New York,,464,7.0
2020-03-16,Onondaga,New York,36067.0,1,0.0
2020-03-16,Ontario,New York,36069.0,1,0.0
2020-03-16,Orange,New York,36071.0,11,0.0
2020-03-16,Putnam,New York,36079.0,2,0.0
2020-03-16,Rockland,New York,36087.0,16,1.0
2020-03-16,Saratoga,New York,36091.0,5,0.0
2020-03-16,Schenectady,New York,36093.0,4,0.0
2020-03-16,Suffolk,New York,36103.0,63,2.0
2020-03-16,Tioga,New York,36107.0,1,0.0
2020-03-16,Tompkins,New York,36109.0,1,0.0
2020-03-16,Ulster,New York,36111.0,7,0.0
2020-03-16,Westchester,New York,36119.0,219,0.0
2020-03-17,Albany,New York,36001.0,23,0.0
2020-03-17,Allegany,New York,36003.0,2,0.0
2020-03-17,Broome,New York,36007.0,1,0.0
2020-03-17,Clinton,New York,36019.0,1,0.0
2020-03-17,Delaware,New York,36025.0,1,0.0
2020-03-17,Dutchess,New York,36027.0,16,0.0
2020-03-17,Erie,New York,36029.0,7,0.0
2020-03-17,Greene,New York,36039.0,2,0.0
2020-03-17,Herkimer,New York,36043.0,1,0.0
2020-03-17,Monroe,New York,36055.0,11,0.0
2020-03-17,Montgomery,New York,36057.0,1,0.0
2020-03-17,Nassau,New York,36059.0,131,2.0
2020-03-17,New York City,New York,,646,11.0
2020-03-17,Onondaga,New York,36067.0,2,0.0
2020-03-17,Ontario,New York,36069.0,1,0.0
2020-03-17,Orange,New York,36071.0,15,0.0
2020-03-17,Putnam,New York,36079.0,2,0.0
2020-03-17,Rensselaer,New York,36083.0,1,0.0
2020-03-17,Rockland,New York,36087.0,22,2.0
2020-03-17,Saratoga,New York,36091.0,9,0.0
2020-03-17,Schenectady,New York,36093.0,5,0.0
2020-03-17,Suffolk,New York,36103.0,84,3.0
2020-03-17,Sullivan,New York,36105.0,1,0.0
2020-03-17,Tioga,New York,36107.0,1,0.0
2020-03-17,Tompkins,New York,36109.0,1,0.0
2020-03-17,Ulster,New York,36111.0,8,0.0
2020-03-17,Westchester,New York,36119.0,379,0.0
2020-03-17,Wyoming,New York,36121.0,1,0.0
2020-03-18,Albany,New York,36001.0,36,0.0
2020-03-18,Allegany,New York,36003.0,2,0.0
2020-03-18,Broome,New York,36007.0,2,0.0
2020-03-18,Chenango,New York,36017.0,1,0.0
2020-03-18,Clinton,New York,36019.0,1,0.0
2020-03-18,Delaware,New York,36025.0,1,0.0
2020-03-18,Dutchess,New York,36027.0,20,0.0
2020-03-18,Erie,New York,36029.0,7,0.0
2020-03-18,Essex,New York,36031.0,1,0.0
2020-03-18,Greene,New York,36039.0,2,0.0
2020-03-18,Hamilton,New York,36041.0,1,0.0
2020-03-18,Herkimer,New York,36043.0,1,0.0
2020-03-18,Jefferson,New York,36045.0,1,0.0
2020-03-18,Livingston,New York,36051.0,1,0.0
2020-03-18,Monroe,New York,36055.0,14,0.0
2020-03-18,Montgomery,New York,36057.0,1,0.0
2020-03-18,Nassau,New York,36059.0,183,2.0
2020-03-18,New York City,New York,,1344,25.0
2020-03-18,Onondaga,New York,36067.0,2,0.0
2020-03-18,Ontario,New York,36069.0,1,0.0
2020-03-18,Orange,New York,36071.0,32,0.0
2020-03-18,Putnam,New York,36079.0,2,0.0
2020-03-18,Rensselaer,New York,36083.0,4,0.0
2020-03-18,Rockland,New York,36087.0,30,2.0
2020-03-18,Saratoga,New York,36091.0,14,0.0
2020-03-18,Schenectady,New York,36093.0,14,0.0
2020-03-18,Suffolk,New York,36103.0,116,3.0
2020-03-18,Sullivan,New York,36105.0,1,0.0
2020-03-18,Tioga,New York,36107.0,1,0.0
2020-03-18,Tompkins,New York,36109.0,2,0.0
2020-03-18,Ulster,New York,36111.0,9,0.0
2020-03-18,Warren,New York,36113.0,1,0.0
2020-03-18,Washington,New York,36115.0,1,0.0
2020-03-18,Westchester,New York,36119.0,537,0.0
2020-03-18,Wyoming,New York,36121.0,1,0.0
2020-03-19,Albany,New York,36001.0,43,0.0
2020-03-19,Allegany,New York,36003.0,2,0.0
2020-03-19,Broome,New York,36007.0,2,0.0
2020-03-19,Chenango,New York,36017.0,1,0.0
2020-03-19,Clinton,New York,36019.0,1,0.0
2020-03-19,Delaware,New York,36025.0,1,0.0
2020-03-19,Dutchess,New York,36027.0,31,0.0
2020-03-19,Erie,New York,36029.0,28,0.0
2020-03-19,Essex,New York,36031.0,1,0.0
2020-03-19,Greene,New York,36039.0,2,0.0
2020-03-19,Hamilton,New York,36041.0,1,0.0
2020-03-19,Herkimer,New York,36043.0,1,0.0
2020-03-19,Jefferson,New York,36045.0,1,0.0
2020-03-19,Livingston,New York,36051.0,1,0.0
2020-03-19,Monroe,New York,36055.0,28,0.0
2020-03-19,Montgomery,New York,36057.0,1,0.0
2020-03-19,Nassau,New York,36059.0,382,3.0
2020-03-19,New York City,New York,,2477,31.0
2020-03-19,Onondaga,New York,36067.0,2,0.0
2020-03-19,Ontario,New York,36069.0,1,0.0
2020-03-19,Orange,New York,36071.0,51,0.0
2020-03-19,Putnam,New York,36079.0,2,0.0
2020-03-19,Rensselaer,New York,36083.0,4,0.0
2020-03-19,Rockland,New York,36087.0,53,2.0
2020-03-19,Saratoga,New York,36091.0,14,0.0
2020-03-19,Schenectady,New York,36093.0,21,0.0
2020-03-19,Schoharie,New York,36095.0,1,0.0
2020-03-19,Suffolk,New York,36103.0,178,3.0
2020-03-19,Sullivan,New York,36105.0,8,0.0
2020-03-19,Tioga,New York,36107.0,1,0.0
2020-03-19,Tompkins,New York,36109.0,7,0.0
2020-03-19,Ulster,New York,36111.0,12,0.0
2020-03-19,Warren,New York,36113.0,1,0.0
2020-03-19,Washington,New York,36115.0,1,0.0
2020-03-19,Wayne,New York,36117.0,1,0.0
2020-03-19,Westchester,New York,36119.0,797,0.0
2020-03-19,Wyoming,New York,36121.0,2,0.0
2020-03-20,Albany,New York,36001.0,61,0.0
2020-03-20,Allegany,New York,36003.0,2,0.0
2020-03-20,Broome,New York,36007.0,2,0.0
2020-03-20,Chenango,New York,36017.0,2,0.0
2020-03-20,Clinton,New York,36019.0,2,0.0
2020-03-20,Columbia,New York,36021.0,1,0.0
2020-03-20,Delaware,New York,36025.0,1,0.0
2020-03-20,Dutchess,New York,36027.0,36,0.0
2020-03-20,Erie,New York,36029.0,31,0.0
2020-03-20,Essex,New York,36031.0,1,0.0
2020-03-20,Fulton,New York,36035.0,1,0.0
2020-03-20,Genesee,New York,36037.0,1,0.0
2020-03-20,Greene,New York,36039.0,2,0.0
2020-03-20,Hamilton,New York,36041.0,2,0.0
2020-03-20,Herkimer,New York,36043.0,2,0.0
2020-03-20,Jefferson,New York,36045.0,1,0.0
2020-03-20,Livingston,New York,36051.0,1,0.0
2020-03-20,Monroe,New York,36055.0,32,0.0
2020-03-20,Montgomery,New York,36057.0,2,0.0
2020-03-20,Nassau,New York,36059.0,754,4.0
2020-03-20,New York City,New York,,4419,54.0
2020-03-20,Niagara,New York,36063.0,3,0.0
2020-03-20,Oneida,New York,36065.0,2,0.0
2020-03-20,Onondaga,New York,36067.0,8,0.0
2020-03-20,Ontario,New York,36069.0,3,0.0
2020-03-20,Orange,New York,36071.0,84,0.0
2020-03-20,Putnam,New York,36079.0,7,0.0
2020-03-20,Rensselaer,New York,36083.0,8,0.0
2020-03-20,Rockland,New York,36087.0,101,3.0
2020-03-20,Saratoga,New York,36091.0,24,0.0
2020-03-20,Schenectady,New York,36093.0,21,0.0
2020-03-20,Schoharie,New York,36095.0,1,0.0
2020-03-20,Suffolk,New York,36103.0,371,7.0
2020-03-20,Sullivan,New York,36105.0,8,0.0
2020-03-20,Tioga,New York,36107.0,1,0.0
2020-03-20,Tompkins,New York,36109.0,7,0.0
2020-03-20,Ulster,New York,36111.0,12,0.0
2020-03-20,Warren,New York,36113.0,1,0.0
2020-03-20,Washington,New York,36115.0,1,0.0
2020-03-20,Wayne,New York,36117.0,1,0.0
2020-03-20,Westchester,New York,36119.0,1091,0.0
2020-03-20,Wyoming,New York,36121.0,2,0.0
2020-03-21,Albany,New York,36001.0,88,0.0
2020-03-21,Allegany,New York,36003.0,2,0.0
2020-03-21,Broome,New York,36007.0,2,1.0
2020-03-21,Chenango,New York,36017.0,2,0.0
2020-03-21,Clinton,New York,36019.0,4,0.0
2020-03-21,Columbia,New York,36021.0,2,0.0
2020-03-21,Delaware,New York,36025.0,1,0.0
2020-03-21,Dutchess,New York,36027.0,49,0.0
2020-03-21,Erie,New York,36029.0,38,0.0
2020-03-21,Essex,New York,36031.0,2,0.0
2020-03-21,Fulton,New York,36035.0,1,0.0
2020-03-21,Genesee,New York,36037.0,1,0.0
2020-03-21,Greene,New York,36039.0,2,0.0
2020-03-21,Hamilton,New York,36041.0,2,0.0
2020-03-21,Herkimer,New York,36043.0,3,0.0
2020-03-21,Jefferson,New York,36045.0,1,0.0
2020-03-21,Livingston,New York,36051.0,2,0.0
2020-03-21,Monroe,New York,36055.0,42,0.0
2020-03-21,Montgomery,New York,36057.0,3,0.0
2020-03-21,Nassau,New York,36059.0,1234,7.0
2020-03-21,New York City,New York,,6226,75.0
2020-03-21,Niagara,New York,36063.0,4,0.0
2020-03-21,Oneida,New York,36065.0,4,0.0
2020-03-21,Onondaga,New York,36067.0,17,0.0
2020-03-21,Ontario,New York,36069.0,4,0.0
2020-03-21,Orange,New York,36071.0,163,0.0
2020-03-21,Putnam,New York,36079.0,22,0.0
2020-03-21,Rensselaer,New York,36083.0,20,0.0
2020-03-21,Rockland,New York,36087.0,262,3.0
2020-03-21,Saratoga,New York,36091.0,35,0.0
2020-03-21,Schenectady,New York,36093.0,32,0.0
2020-03-21,Schoharie,New York,36095.0,1,0.0
2020-03-21,Steuben,New York,36101.0,2,0.0
2020-03-21,Suffolk,New York,36103.0,662,9.0
2020-03-21,Sullivan,New York,36105.0,12,0.0
2020-03-21,Tioga,New York,36107.0,1,0.0
2020-03-21,Tompkins,New York,36109.0,11,0.0
2020-03-21,Ulster,New York,36111.0,18,0.0
2020-03-21,Warren,New York,36113.0,1,0.0
2020-03-21,Washington,New York,36115.0,1,0.0
2020-03-21,Wayne,New York,36117.0,3,0.0
2020-03-21,Westchester,New York,36119.0,1387,0.0
2020-03-21,Wyoming,New York,36121.0,2,0.0
2020-03-22,Albany,New York,36001.0,123,0.0
2020-03-22,Allegany,New York,36003.0,2,0.0
2020-03-22,Broome,New York,36007.0,3,1.0
2020-03-22,Chenango,New York,36017.0,3,0.0
2020-03-22,Clinton,New York,36019.0,4,0.0
2020-03-22,Columbia,New York,36021.0,5,0.0
2020-03-22,Cortland,New York,36023.0,1,0.0
2020-03-22,Delaware,New York,36025.0,3,0.0
2020-03-22,Dutchess,New York,36027.0,82,0.0
2020-03-22,Erie,New York,36029.0,54,0.0
2020-03-22,Essex,New York,36031.0,3,0.0
2020-03-22,Fulton,New York,36035.0,1,0.0
2020-03-22,Genesee,New York,36037.0,1,0.0
2020-03-22,Greene,New York,36039.0,2,0.0
2020-03-22,Hamilton,New York,36041.0,2,0.0
2020-03-22,Herkimer,New York,36043.0,4,0.0
2020-03-22,Jefferson,New York,36045.0,1,0.0
2020-03-22,Livingston,New York,36051.0,2,0.0
2020-03-22,Madison,New York,36053.0,1,0.0
2020-03-22,Monroe,New York,36055.0,57,0.0
2020-03-22,Montgomery,New York,36057.0,3,0.0
2020-03-22,Nassau,New York,36059.0,1900,7.0
2020-03-22,New York City,New York,,9065,119.0
2020-03-22,Niagara,New York,36063.0,6,0.0
2020-03-22,Oneida,New York,36065.0,5,0.0
2020-03-22,Onondaga,New York,36067.0,29,0.0
2020-03-22,Ontario,New York,36069.0,6,0.0
2020-03-22,Orange,New York,36071.0,247,0.0
2020-03-22,Putnam,New York,36079.0,37,0.0
2020-03-22,Rensselaer,New York,36083.0,26,0.0
2020-03-22,Rockland,New York,36087.0,455,3.0
2020-03-22,Saratoga,New York,36091.0,41,0.0
2020-03-22,Schenectady,New York,36093.0,39,0.0
2020-03-22,Schoharie,New York,36095.0,1,0.0
2020-03-22,St. Lawrence,New York,36089.0,1,0.0
2020-03-22,Steuben,New York,36101.0,3,0.0
2020-03-22,Suffolk,New York,36103.0,1034,12.0
2020-03-22,Sullivan,New York,36105.0,16,0.0
2020-03-22,Tioga,New York,36107.0,1,0.0
2020-03-22,Tompkins,New York,36109.0,13,0.0
2020-03-22,Ulster,New York,36111.0,26,0.0
2020-03-22,Warren,New York,36113.0,1,0.0
2020-03-22,Washington,New York,36115.0,1,0.0
2020-03-22,Wayne,New York,36117.0,3,0.0
2020-03-22,Westchester,New York,36119.0,1873,0.0
2020-03-22,Wyoming,New York,36121.0,2,0.0
2020-03-23,Albany,New York,36001.0,127,0.0
2020-03-23,Allegany,New York,36003.0,2,0.0
2020-03-23,Broome,New York,36007.0,7,1.0
2020-03-23,Cayuga,New York,36011.0,2,0.0
2020-03-23,Chenango,New York,36017.0,3,0.0
2020-03-23,Clinton,New York,36019.0,6,0.0
2020-03-23,Columbia,New York,36021.0,10,0.0
2020-03-23,Cortland,New York,36023.0,2,0.0
2020-03-23,Delaware,New York,36025.0,3,0.0
2020-03-23,Dutchess,New York,36027.0,100,0.0
2020-03-23,Erie,New York,36029.0,87,0.0
2020-03-23,Essex,New York,36031.0,3,0.0
2020-03-23,Fulton,New York,36035.0,1,0.0
2020-03-23,Genesee,New York,36037.0,1,0.0
2020-03-23,Greene,New York,36039.0,4,0.0
2020-03-23,Hamilton,New York,36041.0,2,0.0
2020-03-23,Herkimer,New York,36043.0,4,0.0
2020-03-23,Jefferson,New York,36045.0,2,0.0
2020-03-23,Livingston,New York,36051.0,3,0.0
2020-03-23,Madison,New York,36053.0,4,0.0
2020-03-23,Monroe,New York,36055.0,76,0.0
2020-03-23,Montgomery,New York,36057.0,3,0.0
2020-03-23,Nassau,New York,36059.0,2442,9.0
2020-03-23,New York City,New York,,12329,155.0
2020-03-23,Niagara,New York,36063.0,10,0.0
2020-03-23,Oneida,New York,36065.0,7,0.0
2020-03-23,Onondaga,New York,36067.0,52,0.0
2020-03-23,Ontario,New York,36069.0,6,0.0
2020-03-23,Orange,New York,36071.0,389,0.0
2020-03-23,Oswego,New York,36075.0,1,0.0
2020-03-23,Otsego,New York,36077.0,1,0.0
2020-03-23,Putnam,New York,36079.0,45,0.0
2020-03-23,Rensselaer,New York,36083.0,29,0.0
2020-03-23,Rockland,New York,36087.0,592,5.0
2020-03-23,Saratoga,New York,36091.0,53,0.0
2020-03-23,Schenectady,New York,36093.0,44,0.0
2020-03-23,Schoharie,New York,36095.0,1,0.0
2020-03-23,St. Lawrence,New York,36089.0,1,0.0
2020-03-23,Steuben,New York,36101.0,4,0.0
2020-03-23,Suffolk,New York,36103.0,1458,13.0
2020-03-23,Sullivan,New York,36105.0,23,0.0
2020-03-23,Tioga,New York,36107.0,1,0.0
2020-03-23,Tompkins,New York,36109.0,15,0.0
2020-03-23,Ulster,New York,36111.0,35,0.0
2020-03-23,Warren,New York,36113.0,2,0.0
2020-03-23,Washington,New York,36115.0,3,0.0
2020-03-23,Wayne,New York,36117.0,6,0.0
2020-03-23,Westchester,New York,36119.0,2894,0.0
2020-03-23,Wyoming,New York,36121.0,4,0.0
2020-03-24,Albany,New York,36001.0,146,0.0
2020-03-24,Allegany,New York,36003.0,2,0.0
2020-03-24,Broome,New York,36007.0,9,1.0
2020-03-24,Cayuga,New York,36011.0,2,0.0
2020-03-24,Chemung,New York,36015.0,1,0.0
2020-03-24,Chenango,New York,36017.0,3,0.0
2020-03-24,Clinton,New York,36019.0,8,0.0
2020-03-24,Columbia,New York,36021.0,11,0.0
2020-03-24,Cortland,New York,36023.0,2,0.0
2020-03-24,Delaware,New York,36025.0,3,0.0
2020-03-24,Dutchess,New York,36027.0,124,0.0
2020-03-24,Erie,New York,36029.0,107,0.0
2020-03-24,Essex,New York,36031.0,3,0.0
2020-03-24,Fulton,New York,36035.0,1,0.0
2020-03-24,Genesee,New York,36037.0,1,0.0
2020-03-24,Greene,New York,36039.0,4,0.0
2020-03-24,Hamilton,New York,36041.0,2,0.0
2020-03-24,Herkimer,New York,36043.0,4,0.0
2020-03-24,Jefferson,New York,36045.0,2,0.0
2020-03-24,Livingston,New York,36051.0,3,0.0
2020-03-24,Madison,New York,36053.0,5,0.0
2020-03-24,Monroe,New York,36055.0,96,0.0
2020-03-24,Montgomery,New York,36057.0,3,0.0
2020-03-24,Nassau,New York,36059.0,2869,9.0
2020-03-24,New York City,New York,,14943,230.0
2020-03-24,Niagara,New York,36063.0,11,0.0
2020-03-24,Oneida,New York,36065.0,8,0.0
2020-03-24,Onondaga,New York,36067.0,60,0.0
2020-03-24,Ontario,New York,36069.0,7,0.0
2020-03-24,Orange,New York,36071.0,498,0.0
2020-03-24,Orleans,New York,36073.0,2,0.0
2020-03-24,Oswego,New York,36075.0,2,0.0
2020-03-24,Otsego,New York,36077.0,1,0.0
2020-03-24,Putnam,New York,36079.0,67,0.0
2020-03-24,Rensselaer,New York,36083.0,30,0.0
2020-03-24,Rockland,New York,36087.0,671,5.0
2020-03-24,Saratoga,New York,36091.0,60,0.0
2020-03-24,Schenectady,New York,36093.0,46,0.0
2020-03-24,Schoharie,New York,36095.0,1,0.0
2020-03-24,St. Lawrence,New York,36089.0,1,0.0
2020-03-24,Steuben,New York,36101.0,5,0.0
2020-03-24,Suffolk,New York,36103.0,1880,13.0
2020-03-24,Sullivan,New York,36105.0,30,0.0
2020-03-24,Tioga,New York,36107.0,1,0.0
2020-03-24,Tompkins,New York,36109.0,16,0.0
2020-03-24,Ulster,New York,36111.0,47,0.0
2020-03-24,Warren,New York,36113.0,2,0.0
2020-03-24,Washington,New York,36115.0,3,0.0
2020-03-24,Wayne,New York,36117.0,6,0.0
2020-03-24,Westchester,New York,36119.0,3891,6.0
2020-03-24,Wyoming,New York,36121.0,4,0.0
2020-03-25,Albany,New York,36001.0,152,0.0
2020-03-25,Allegany,New York,36003.0,2,0.0
2020-03-25,Broome,New York,36007.0,11,1.0
2020-03-25,Cayuga,New York,36011.0,2,0.0
2020-03-25,Chautauqua,New York,36013.0,1,0.0
2020-03-25,Chemung,New York,36015.0,1,0.0
2020-03-25,Chenango,New York,36017.0,3,0.0
2020-03-25,Clinton,New York,36019.0,10,0.0
2020-03-25,Columbia,New York,36021.0,12,0.0
2020-03-25,Cortland,New York,36023.0,2,0.0
2020-03-25,Delaware,New York,36025.0,5,0.0
2020-03-25,Dutchess,New York,36027.0,153,0.0
2020-03-25,Erie,New York,36029.0,122,0.0
2020-03-25,Essex,New York,36031.0,4,0.0
2020-03-25,Franklin,New York,36033.0,1,0.0
2020-03-25,Fulton,New York,36035.0,1,0.0
2020-03-25,Genesee,New York,36037.0,2,0.0
2020-03-25,Greene,New York,36039.0,4,0.0
2020-03-25,Hamilton,New York,36041.0,2,0.0
2020-03-25,Herkimer,New York,36043.0,5,0.0
2020-03-25,Jefferson,New York,36045.0,2,0.0
2020-03-25,Livingston,New York,36051.0,3,0.0
2020-03-25,Madison,New York,36053.0,7,0.0
2020-03-25,Monroe,New York,36055.0,118,0.0
2020-03-25,Montgomery,New York,36057.0,4,0.0
2020-03-25,Nassau,New York,36059.0,3285,17.0
2020-03-25,New York City,New York,,20061,330.0
2020-03-25,Niagara,New York,36063.0,12,0.0
2020-03-25,Oneida,New York,36065.0,9,0.0
2020-03-25,Onondaga,New York,36067.0,65,0.0
2020-03-25,Ontario,New York,36069.0,9,0.0
2020-03-25,Orange,New York,36071.0,638,0.0
2020-03-25,Orleans,New York,36073.0,2,0.0
2020-03-25,Oswego,New York,36075.0,2,0.0
2020-03-25,Otsego,New York,36077.0,2,0.0
2020-03-25,Putnam,New York,36079.0,84,0.0
2020-03-25,Rensselaer,New York,36083.0,31,0.0
2020-03-25,Rockland,New York,36087.0,1069,7.0
2020-03-25,Saratoga,New York,36091.0,64,0.0
2020-03-25,Schenectady,New York,36093.0,55,0.0
2020-03-25,Schoharie,New York,36095.0,2,0.0
2020-03-25,St. Lawrence,New York,36089.0,1,0.0
2020-03-25,Steuben,New York,36101.0,8,0.0
2020-03-25,Suffolk,New York,36103.0,2260,20.0
2020-03-25,Sullivan,New York,36105.0,39,0.0
2020-03-25,Tioga,New York,36107.0,1,0.0
2020-03-25,Tompkins,New York,36109.0,16,0.0
2020-03-25,Ulster,New York,36111.0,65,0.0
2020-03-25,Warren,New York,36113.0,2,0.0
2020-03-25,Washington,New York,36115.0,4,0.0
2020-03-25,Wayne,New York,36117.0,7,0.0
2020-03-25,Westchester,New York,36119.0,4691,6.0
2020-03-25,Wyoming,New York,36121.0,4,0.0
2020-03-26,Albany,New York,36001.0,171,0.0
2020-03-26,Allegany,New York,36003.0,2,0.0
2020-03-26,Broome,New York,36007.0,16,2.0
2020-03-26,Cayuga,New York,36011.0,2,0.0
2020-03-26,Chautauqua,New York,36013.0,1,0.0
2020-03-26,Chemung,New York,36015.0,7,0.0
2020-03-26,Chenango,New York,36017.0,3,0.0
2020-03-26,Clinton,New York,36019.0,11,0.0
2020-03-26,Columbia,New York,36021.0,13,0.0
2020-03-26,Cortland,New York,36023.0,2,0.0
2020-03-26,Delaware,New York,36025.0,7,0.0
2020-03-26,Dutchess,New York,36027.0,190,2.0
2020-03-26,Erie,New York,36029.0,134,2.0
2020-03-26,Essex,New York,36031.0,4,0.0
2020-03-26,Franklin,New York,36033.0,1,0.0
2020-03-26,Fulton,New York,36035.0,1,0.0
2020-03-26,Genesee,New York,36037.0,4,0.0
2020-03-26,Greene,New York,36039.0,5,0.0
2020-03-26,Hamilton,New York,36041.0,2,0.0
