,date,county,state,fips,cases,deaths
1230,2020-03-11,Lake,Illinois,17097.0,1,0.0
1444,2020-03-12,Lake,Illinois,17097.0,1,0.0
1715,2020-03-13,Lake,Illinois,17097.0,2,0.0
2043,2020-03-14,Lake,Illinois,17097.0,3,0.0
2434,2020-03-15,Lake,Illinois,17097.0,3,0.0
2824,2020-03-16,Lake,Florida,12069.0,1,0.0
2875,2020-03-16,Lake,Illinois,17097.0,6,0.0
3308,2020-03-17,Lake,Florida,12069.0,1,0.0
3364,2020-03-17,Lake,Illinois,17097.0,7,0.0
3383,2020-03-17,Lake,Indiana,18089.0,2,0.0
3591,2020-03-17,Lake,Ohio,39085.0,1,0.0
3865,2020-03-18,Lake,Florida,12069.0,2,0.0
3931,2020-03-18,Lake,Illinois,17097.0,18,0.0
3956,2020-03-18,Lake,Indiana,18089.0,3,0.0
4205,2020-03-18,Lake,Ohio,39085.0,2,0.0
4533,2020-03-19,Lake,Florida,12069.0,3,0.0
4607,2020-03-19,Lake,Illinois,17097.0,37,0.0
4632,2020-03-19,Lake,Indiana,18089.0,4,0.0
4937,2020-03-19,Lake,Ohio,39085.0,2,0.0
5312,2020-03-20,Lake,Florida,12069.0,3,0.0
5412,2020-03-20,Lake,Illinois,17097.0,52,0.0
5440,2020-03-20,Lake,Indiana,18089.0,6,0.0
5800,2020-03-20,Lake,Ohio,39085.0,3,0.0
6241,2020-03-21,Lake,Florida,12069.0,6,0.0
6347,2020-03-21,Lake,Illinois,17097.0,63,0.0
6379,2020-03-21,Lake,Indiana,18089.0,7,0.0
6800,2020-03-21,Lake,Ohio,39085.0,4,0.0
7281,2020-03-22,Lake,Florida,12069.0,6,0.0
7398,2020-03-22,Lake,Illinois,17097.0,69,0.0
7433,2020-03-22,Lake,Indiana,18089.0,10,0.0
7911,2020-03-22,Lake,Ohio,39085.0,6,0.0
8427,2020-03-23,Lake,Florida,12069.0,9,0.0
8553,2020-03-23,Lake,Illinois,17097.0,96,0.0
8591,2020-03-23,Lake,Indiana,18089.0,11,0.0
9115,2020-03-23,Lake,Ohio,39085.0,8,0.0
9672,2020-03-24,Lake,Florida,12069.0,14,0.0
9817,2020-03-24,Lake,Illinois,17097.0,111,0.0
9860,2020-03-24,Lake,Indiana,18089.0,17,0.0
10431,2020-03-24,Lake,Ohio,39085.0,11,0.0
11047,2020-03-25,Lake,Florida,12069.0,22,0.0
11208,2020-03-25,Lake,Illinois,17097.0,139,0.0
11255,2020-03-25,Lake,Indiana,18089.0,19,0.0
11879,2020-03-25,Lake,Ohio,39085.0,14,0.0
12595,2020-03-26,Lake,Florida,12069.0,26,0.0
12764,2020-03-26,Lake,Illinois,17097.0,185,0.0
12812,2020-03-26,Lake,Indiana,18089.0,31,0.0
13487,2020-03-26,Lake,Ohio,39085.0,19,0.0
14264,2020-03-27,Lake,Florida,12069.0,32,0.0
14442,2020-03-27,Lake,Illinois,17097.0,230,2.0
14497,2020-03-27,Lake,Indiana,18089.0,47,0.0
14985,2020-03-27,Lake,Montana,30047.0,1,0.0
15225,2020-03-27,Lake,Ohio,39085.0,27,1.0
16049,2020-03-28,Lake,Florida,12069.0,38,0.0
16237,2020-03-28,Lake,Illinois,17097.0,264,2.0
16295,2020-03-28,Lake,Indiana,18089.0,68,1.0
16811,2020-03-28,Lake,Montana,30047.0,2,0.0
17067,2020-03-28,Lake,Ohio,39085.0,30,1.0
17942,2020-03-29,Lake,Florida,12069.0,44,0.0
18137,2020-03-29,Lake,Illinois,17097.0,300,3.0
18199,2020-03-29,Lake,Indiana,18089.0,85,1.0
18734,2020-03-29,Lake,Montana,30047.0,3,0.0
