date,county,state,fips,cases,deaths
2020-03-10,Collier,Florida,12021.0,3,0.0
2020-03-11,Collier,Florida,12021.0,3,0.0
2020-03-12,Collier,Florida,12021.0,3,0.0
2020-03-13,Collier,Florida,12021.0,3,0.0
2020-03-14,Collier,Florida,12021.0,3,0.0
2020-03-15,Collier,Florida,12021.0,5,0.0
2020-03-16,Collier,Florida,12021.0,6,0.0
2020-03-17,Collier,Florida,12021.0,7,0.0
2020-03-18,Collier,Florida,12021.0,13,0.0
2020-03-19,Collier,Florida,12021.0,18,0.0
2020-03-20,Collier,Florida,12021.0,25,0.0
2020-03-21,Collier,Florida,12021.0,28,0.0
2020-03-22,Collier,Florida,12021.0,33,0.0
2020-03-23,Collier,Florida,12021.0,39,0.0
2020-03-24,Collier,Florida,12021.0,41,0.0
2020-03-25,Collier,Florida,12021.0,57,0.0
2020-03-26,Collier,Florida,12021.0,67,0.0
2020-03-27,Collier,Florida,12021.0,85,0.0
2020-03-28,Collier,Florida,12021.0,95,0.0
2020-03-29,Collier,Florida,12021.0,111,1.0
2020-03-30,Collier,Florida,12021.0,127,1.0
2020-03-31,Collier,Florida,12021.0,146,1.0
2020-04-01,Collier,Florida,12021.0,158,1.0
2020-04-02,Collier,Florida,12021.0,178,2.0
2020-04-03,Collier,Florida,12021.0,203,2.0
2020-04-04,Collier,Florida,12021.0,221,2.0
2020-04-05,Collier,Florida,12021.0,231,2.0
2020-04-06,Collier,Florida,12021.0,249,3.0
2020-04-07,Collier,Florida,12021.0,271,3.0
2020-04-08,Collier,Florida,12021.0,282,3.0
2020-04-09,Collier,Florida,12021.0,303,3.0
2020-04-10,Collier,Florida,12021.0,327,3.0
2020-04-11,Collier,Florida,12021.0,352,4.0
2020-04-12,Collier,Florida,12021.0,361,4.0
2020-04-13,Collier,Florida,12021.0,376,5.0
2020-04-14,Collier,Florida,12021.0,380,5.0
2020-04-15,Collier,Florida,12021.0,396,5.0
2020-04-16,Collier,Florida,12021.0,416,6.0
2020-04-17,Collier,Florida,12021.0,445,8.0
2020-04-18,Collier,Florida,12021.0,457,8.0
2020-04-19,Collier,Florida,12021.0,463,8.0
2020-04-20,Collier,Florida,12021.0,470,9.0
2020-04-21,Collier,Florida,12021.0,477,10.0
2020-04-22,Collier,Florida,12021.0,483,10.0
2020-04-23,Collier,Florida,12021.0,507,14.0
2020-04-24,Collier,Florida,12021.0,526,15.0
2020-04-25,Collier,Florida,12021.0,535,15.0
2020-04-26,Collier,Florida,12021.0,552,15.0
2020-04-27,Collier,Florida,12021.0,562,15.0
2020-04-28,Collier,Florida,12021.0,568,16.0
2020-04-29,Collier,Florida,12021.0,581,17.0
2020-04-30,Collier,Florida,12021.0,596,19.0
2020-05-01,Collier,Florida,12021.0,610,21.0
2020-05-02,Collier,Florida,12021.0,628,21.0
2020-05-03,Collier,Florida,12021.0,640,21.0
2020-05-04,Collier,Florida,12021.0,653,22.0
2020-05-05,Collier,Florida,12021.0,656,25.0
2020-05-06,Collier,Florida,12021.0,677,27.0
2020-05-07,Collier,Florida,12021.0,705,27.0
2020-05-08,Collier,Florida,12021.0,712,27.0
2020-05-09,Collier,Florida,12021.0,734,27.0
2020-05-10,Collier,Florida,12021.0,752,27.0
2020-05-11,Collier,Florida,12021.0,766,28.0
2020-05-12,Collier,Florida,12021.0,843,32.0
2020-05-13,Collier,Florida,12021.0,864,34.0
2020-05-14,Collier,Florida,12021.0,882,35.0
2020-05-15,Collier,Florida,12021.0,915,37.0
2020-05-16,Collier,Florida,12021.0,923,37.0
2020-05-17,Collier,Florida,12021.0,948,37.0
2020-05-18,Collier,Florida,12021.0,1006,37.0
2020-05-19,Collier,Florida,12021.0,1030,40.0
2020-05-20,Collier,Florida,12021.0,1058,40.0
2020-05-21,Collier,Florida,12021.0,1112,41.0
2020-05-22,Collier,Florida,12021.0,1160,42.0
2020-05-23,Collier,Florida,12021.0,1195,45.0
2020-05-24,Collier,Florida,12021.0,1251,45.0
2020-05-25,Collier,Florida,12021.0,1282,46.0
2020-05-26,Collier,Florida,12021.0,1305,46.0
2020-05-27,Collier,Florida,12021.0,1334,46.0
2020-05-28,Collier,Florida,12021.0,1401,49.0
2020-05-29,Collier,Florida,12021.0,1454,49.0
2020-05-30,Collier,Florida,12021.0,1514,49.0
2020-05-31,Collier,Florida,12021.0,1539,49.0
2020-06-01,Collier,Florida,12021.0,1580,49.0
2020-06-02,Collier,Florida,12021.0,1605,49.0
2020-06-03,Collier,Florida,12021.0,1679,49.0
2020-06-04,Collier,Florida,12021.0,1814,53.0
2020-06-05,Collier,Florida,12021.0,1874,55.0
2020-06-06,Collier,Florida,12021.0,1968,56.0
2020-06-07,Collier,Florida,12021.0,2039,56.0
2020-06-08,Collier,Florida,12021.0,2070,57.0
2020-06-09,Collier,Florida,12021.0,2128,57.0
2020-06-10,Collier,Florida,12021.0,2230,57.0
